cycle |       IF        |       OF        |       EX        |       WB        | event
    0 |    0    1    2  |    .    .    .  |    .    .    .  |    .    .    .  | 
    1 |    3    4    5  |    0    1    2  |    .    .    .  |    .    .    .  | 
    2 |    6    7    8  |    3    4    5  |    0    1    2  |    .    .    .  | 
    3 |    9   10   11  |    6    7    8  |    3    4    5  |    0    1    2  | 
    4 |   12   13   14  |    9   10   11  |    6    7    8  |    3    4    5  | 
    5 |   15   16   17  |   12   13   14  |    9   10   11  |    6    7    8  | 
    6 |   18   19   20  |   15   16   17  |   12   13   14  |    9   10   11  | 
    7 |   21   22   23  |   18   19   20  |   15   16   17  |   12   13   14  | 
    8 |   24   25   26  |   21   22   23  |   18   19   20  |   15   16   17  | 
    9 |   27   28   29  |   24   25   26  |   21   22   23  |   18   19   20  | 
   10 |   30   31   32  |   27   28   29  |   24   25   26  |   21   22   23  | 
   11 |   33   34   35  |   30   31   32  |   27   28   29  |   24   25   26  | 
   12 |   36   37   38  |   33   34   35  |   30   31   32  |   27   28   29  | 
   13 |   39   40   41  |   36   37   38  |   33   34   35  |   30   31   32  | 
   14 |   42   43   44  |   39   40   41  |   36   37   38  |   33   34   35  | 
   15 |  x45  x46  x47  |  x42  x43  x44  |   39  x40  x41  |   36   37   38  | HALT in EX: fetch stopped
   16 |    .    .    .  |    .    .    .  |    .    .    .  |   39    .    .  | HALT in WB: done
