cycle |       IF        |       OF        |       EX        |       WB        | event
    0 |    0    1    2  |    .    .    .  |    .    .    .  |    .    .    .  | 
    1 |    3    4    5  |    0    1    2  |    .    .    .  |    .    .    .  | 
    2 |    6    7    8  |    3    4    5  |    0    1    2  |    .    .    .  | 
    3 |    9   10   11  |    6    7    8  |    3    4    5  |    0    1    2  | 
    4 |   12   13   14  |    9   10   11  |    6    7    8  |    3    4    5  | 
    5 |   15   16   17  |   12   13   14  |    9   10   11  |    6    7    8  | 
    6 |   18   19   20  |   15   16   17  |   12   13   14  |    9   10   11  | 
    7 |   21   22   23  |   18   19   20  |   15   16   17  |   12   13   14  | 
    8 |   24   25   26  |   21   22   23  |   18   19   20  |   15   16   17  | 
    9 |   27   28   29  |   24   25   26  |   21   22   23  |   18   19   20  | 
   10 |   30   31   32  |   27   28   29  |   24   25   26  |   21   22   23  | 
   11 |   33   34   35  |   30   31   32  |   27   28   29  |   24   25   26  | 
   12 |   36   37   38  |   33   34   35  |   30   31   32  |   27   28   29  | 
   13 |   39   40   41  |   36   37   38  |   33   34   35  |   30   31   32  | 
   14 |  x42  x43  x44  |  x39  x40  x41  |   36   37   38  |   33   34   35  | JL taken -> 30
   15 |   30   31   32  |    .    .    .  |    .    .    .  |   36   37   38  | 
   16 |   33   34   35  |   30   31   32  |    .    .    .  |    .    .    .  | 
   17 |   36   37   38  |   33   34   35  |   30   31   32  |    .    .    .  | 
   18 |   39   40   41  |   36   37   38  |   33   34   35  |   30   31   32  | 
   19 |  x42  x43  x44  |  x39  x40  x41  |   36   37   38  |   33   34   35  | JL taken -> 30
   20 |   30   31   32  |    .    .    .  |    .    .    .  |   36   37   38  | 
   21 |   33   34   35  |   30   31   32  |    .    .    .  |    .    .    .  | 
   22 |   36   37   38  |   33   34   35  |   30   31   32  |    .    .    .  | 
   23 |   39   40   41  |   36   37   38  |   33   34   35  |   30   31   32  | 
   24 |  x42  x43  x44  |  x39  x40  x41  |   36   37   38  |   33   34   35  | JL taken -> 30
   25 |   30   31   32  |    .    .    .  |    .    .    .  |   36   37   38  | 
   26 |   33   34   35  |   30   31   32  |    .    .    .  |    .    .    .  | 
   27 |   36   37   38  |   33   34   35  |   30   31   32  |    .    .    .  | 
   28 |   39   40   41  |   36   37   38  |   33   34   35  |   30   31   32  | 
   29 |  x42  x43  x44  |  x39  x40  x41  |   36   37   38  |   33   34   35  | JL taken -> 30
   30 |   30   31   32  |    .    .    .  |    .    .    .  |   36   37   38  | 
   31 |   33   34   35  |   30   31   32  |    .    .    .  |    .    .    .  | 
   32 |   36   37   38  |   33   34   35  |   30   31   32  |    .    .    .  | 
   33 |   39   40   41  |   36   37   38  |   33   34   35  |   30   31   32  | 
   34 |  x42  x43  x44  |  x39  x40  x41  |   36   37   38  |   33   34   35  | JL taken -> 30
   35 |   30   31   32  |    .    .    .  |    .    .    .  |   36   37   38  | 
   36 |   33   34   35  |   30   31   32  |    .    .    .  |    .    .    .  | 
   37 |   36   37   38  |   33   34   35  |   30   31   32  |    .    .    .  | 
   38 |   39   40   41  |   36   37   38  |   33   34   35  |   30   31   32  | 
   39 |  x42  x43  x44  |  x39  x40  x41  |   36   37   38  |   33   34   35  | JL taken -> 30
   40 |   30   31   32  |    .    .    .  |    .    .    .  |   36   37   38  | 
   41 |   33   34   35  |   30   31   32  |    .    .    .  |    .    .    .  | 
   42 |   36   37   38  |   33   34   35  |   30   31   32  |    .    .    .  | 
   43 |   39   40   41  |   36   37   38  |   33   34   35  |   30   31   32  | 
   44 |  x42  x43  x44  |  x39  x40  x41  |   36   37   38  |   33   34   35  | JL taken -> 30
   45 |   30   31   32  |    .    .    .  |    .    .    .  |   36   37   38  | 
   46 |   33   34   35  |   30   31   32  |    .    .    .  |    .    .    .  | 
   47 |   36   37   38  |   33   34   35  |   30   31   32  |    .    .    .  | 
   48 |   39   40   41  |   36   37   38  |   33   34   35  |   30   31   32  | 
   49 |   42   43   44  |   39   40   41  |   36   37   38  |   33   34   35  | 
   50 |   45   46   47  |   42   43   44  |   39   40   41  |   36   37   38  | 
   51 |   48   49   50  |   45   46   47  |   42   43   44  |   39   40   41  | 
   52 |   51   52   53  |   48   49   50  |   45   46   47  |   42   43   44  | 
   53 |   54   55   56  |   51   52   53  |   48   49   50  |   45   46   47  | 
   54 |  x57  x58  x59  |  x54  x55  x56  |   51   52   53  |   48   49   50  | HALT in EX: fetch stopped
   55 |    .    .    .  |    .    .    .  |    .    .    .  |   51   52   53  | HALT in WB: done
