cycle |       IF        |       OF        |       EX        |       WB        | event
    0 |    0    1    2  |    .    .    .  |    .    .    .  |    .    .    .  | 
    1 |    3    4    5  |    0    1    2  |    .    .    .  |    .    .    .  | 
    2 |    6    7    8  |    3    4    5  |    0    1    2  |    .    .    .  | 
    3 |    9   10   11  |    6    7    8  |    3    4    5  |    0    1    2  | 
    4 |   12   13   14  |    9   10   11  |    6    7    8  |    3    4    5  | 
    5 |   15   16   17  |   12   13   14  |    9   10   11  |    6    7    8  | 
    6 |   18   19   20  |   15   16   17  |   12   13   14  |    9   10   11  | 
    7 |   21   22   23  |   18   19   20  |   15   16   17  |   12   13   14  | 
    8 |   24   25   26  |   21   22   23  |   18   19   20  |   15   16   17  | 
    9 |   27   28   29  |   24   25   26  |   21   22   23  |   18   19   20  | 
   10 |   30   31   32  |   27   28   29  |   24   25   26  |   21   22   23  | 
   11 |   33   34   35  |   30   31   32  |   27   28   29  |   24   25   26  | 
   12 |   36   37   38  |   33   34   35  |   30   31   32  |   27   28   29  | 
   13 |   39   40   41  |   36   37   38  |   33   34   35  |   30   31   32  | 
   14 |   42   43   44  |   39   40   41  |   36   37   38  |   33   34   35  | 
   15 |    .    .    .  |   42   43   44  |   39   40   41  |   36   37   38  | fetch stalled (branch in OF/EX)
   16 |    .    .    .  |    .    .    .  |   42   43   44  |   39   40   41  | JL taken -> 51
   17 |   51   52   53  |    .    .    .  |    .    .    .  |   42   43   44  | 
   18 |   54   55   56  |   51   52   53  |    .    .    .  |    .    .    .  | 
   19 |   57    .    .  |   54   55   56  |   51   52   53  |    .    .    .  | 
   20 |    .    .    .  |   57    .    .  |   54   55   56  |   51   52   53  | fetch stalled (branch in OF/EX)
   21 |    .    .    .  |    .    .    .  |   57    .    .  |   54   55   56  | JL taken -> 63
   22 |   63   64   65  |    .    .    .  |    .    .    .  |   57    .    .  | 
   23 |   66   67   68  |   63   64   65  |    .    .    .  |    .    .    .  | 
   24 |   69   70    .  |   66   67   68  |   63   64   65  |    .    .    .  | 
   25 |    .    .    .  |   69   70    .  |   66   67   68  |   63   64   65  | fetch stalled (branch in OF/EX)
   26 |    .    .    .  |    .    .    .  |   69   70    .  |   66   67   68  | JL taken -> 78
   27 |   78   79   80  |    .    .    .  |    .    .    .  |   69   70    .  | 
   28 |    .    .    .  |   78   79   80  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   29 |    .    .    .  |    .    .    .  |   78   79   80  |    .    .    .  | HALT in EX: fetch stopped
   30 |    .    .    .  |    .    .    .  |    .    .    .  |   78   79   80  | HALT in WB: done
